,Academic Year,Course Code,Moodle Link,Course Title,Course Link,Term,Staff
43,2022,COMP4805,https://moodle.hku.hk/course/search.php?q=COMP4805_1A_2022&areaids=core_course-course,Project (2nd Major),/index.php/programmes/course-offered?infile=2022/comp4805.html,1,"Ting HF

"
44,2022,FITE4801,https://moodle.hku.hk/course/search.php?q=_COMP4801_COMP4802_FA_2021&areaids=core_course-course,Project,/index.php/programmes/course-offered?infile=2022/fite4801.html,"
                full year
              ","Chow K P

"
45,2022,COMP2501A,https://moodle.hku.hk/course/search.php?q=COMP2501_1A_2022&areaids=core_course-course,Introduction to Data Science and Engineering,/index.php/programmes/course-offered?infile=2022/comp2501.html,1,"Ting HF

"
46,2022,COMP2501B,https://moodle.hku.hk/course/search.php?q=COMP2501_2B_2022&areaids=core_course-course,Introduction to Data Science and Engineering (DS&E),/index.php/programmes/course-offered?infile=2022/comp2501.html,2,"Luo Ruibang

"
47,2022,COMP2502,https://moodle.hku.hk/course/search.php?q=COMP2502_2A_2022&areaids=core_course-course,Computing Fundamentals (Minor in DS&E only),/index.php/programmes/course-offered?infile=2022/comp2502.html,2,"Chow K P

"
48,2022,COMP3231,https://moodle.hku.hk/course/search.php?q=COMP3231_1A_2022&areaids=core_course-course,Computer Architecture,/index.php/programmes/course-offered?infile=2022/comp3231.html,1,"Cui H.M.

"
49,2022,COMP3235,https://moodle.hku.hk/course/search.php?q=COMP3235_2A_2022&areaids=core_course-course,Compiling Techniques,/index.php/programmes/course-offered?infile=2022/comp3235.html,2,"Lau Francis

"
50,2022,COMP3258,https://moodle.hku.hk/course/search.php?q=COMP3258_1A_2022&areaids=core_course-course,Functional Programming,/index.php/programmes/course-offered?infile=2022/comp3258.html,1,"Oliveira Bruno

"
51,2022,COMP3259,https://moodle.hku.hk/course/search.php?q=COMP3259_2A_2022&areaids=core_course-course,Principles of Programming Languages,/index.php/programmes/course-offered?infile=2022/comp3259.html,2,"Oliveira Bruno

"
52,2022,COMP3270A,https://moodle.hku.hk/course/search.php?q=COMP3270_1A_2022&areaids=core_course-course,Artificial Intelligence,/index.php/programmes/course-offered?infile=2022/comp3270.html,1,"Schnieders Dirk

"
53,2022,COMP3270B,https://moodle.hku.hk/course/search.php?q=COMP3270_2B_2022&areaids=core_course-course,Artificial Intelligence,/index.php/programmes/course-offered?infile=2022/comp3270.html,2,"Chan K P

"
54,2022,COMP3271,https://moodle.hku.hk/course/search.php?q=COMP3271_1A_2022&areaids=core_course-course,Computer Graphics,/index.php/programmes/course-offered?infile=2022/comp3271.html,1,"Komura Taku

"
55,2022,COMP3314A,https://moodle.hku.hk/course/search.php?q=COMP3314_1A_2022&areaids=core_course-course,Machine Learning,/index.php/programmes/course-offered?infile=2022/comp3314.html,1,"Zhao Hengshuang

"
56,2022,COMP3314B,https://moodle.hku.hk/course/search.php?q=COMP3314_2B_2022&areaids=core_course-course,Machine Learning,/index.php/programmes/course-offered?infile=2022/comp3314.html,2,"Kong Lingpeng

"
57,2022,COMP3314C,https://moodle.hku.hk/course/search.php?q=COMP3314_2C_2022&areaids=core_course-course,Machine Learning,/index.php/programmes/course-offered?infile=2022/comp3314.html,2,"Yu Y Z

"
58,2022,COMP3316,https://moodle.hku.hk/course/search.php?q=COMP3316_2A_2022&areaids=core_course-course,Quantum Information and Computation,/index.php/programmes/course-offered?infile=2022/comp3316.html,2,"Chiribella Giulio

"
59,2022,COMP3317,https://moodle.hku.hk/course/search.php?q=COMP3317_2A_2022&areaids=core_course-course,Computer Vision,/index.php/programmes/course-offered?infile=2022/comp3317.html,2,"Wong Kenneth

"
60,2022,COMP3322A,https://moodle.hku.hk/course/search.php?q=COMP3322_1A_2022&areaids=core_course-course,Modern Technologies on World Wide Web,/index.php/programmes/course-offered?infile=2022/comp3322.html,1,"Wu C

"
61,2022,COMP3322B,https://moodle.hku.hk/course/search.php?q=COMP3322_2B_2022&areaids=core_course-course,Modern Technologies on World Wide Web,/index.php/programmes/course-offered?infile=2022/comp3322.html,2,"Tam Anthony

"
62,2022,COMP3329,https://moodle.hku.hk/course/search.php?q=COMP3329_2A_2022&areaids=core_course-course,Computer Game Design and Programming,/index.php/programmes/course-offered?infile=2022/comp3329.html,2,"Chim T W

"
63,2022,COMP3330,https://moodle.hku.hk/course/search.php?q=COMP3330_1A_2022&areaids=core_course-course,Interactive Mobile Application Design and Programming,/index.php/programmes/course-offered?infile=2022/comp3330.html,1,"Chim T W

"
64,2022,COMP3340,https://moodle.hku.hk/course/search.php?q=COMP3340_1A_2022&areaids=core_course-course,Applied Deep Learning,/index.php/programmes/course-offered?infile=2022/comp3340.html,1,"Luo Ping

"
65,2022,COMP3353,https://moodle.hku.hk/course/search.php?q=COMP3353_1A_2022&areaids=core_course-course,Bioinformatics,/index.php/programmes/course-offered?infile=2022/comp3353.html,1,"Luo Ruibang

"
66,2022,COMP3355,https://moodle.hku.hk/course/search.php?q=COMP3355_1A_2022&areaids=core_course-course,Cyber Security,/index.php/programmes/course-offered?infile=2022/comp3355.html,1,"Qian Chenxiong

"
67,2022,COMP3356,https://moodle.hku.hk/course/search.php?q=COMP3356_2A_2022&areaids=core_course-course,Robotics ,/index.php/programmes/course-offered?infile=2022/comp3356.html,2,"Pan Jia

"
68,2022,COMP3357,https://moodle.hku.hk/course/search.php?q=COMP3357_2A_2022&areaids=core_course-course,Cryptography,/index.php/programmes/course-offered?infile=2022/comp3357.html,2,"Ramanathan Ravishankar

"
69,2022,COMP3358,https://moodle.hku.hk/course/search.php?q=COMP3358_2A_2022&areaids=core_course-course,Distributed and Parallel Computing,/index.php/programmes/course-offered?infile=2022/comp3358.html,2,"Cui H.M.

"
70,2022,COMP3360,https://moodle.hku.hk/course/search.php?q=COMP3360_2A_2022&areaids=core_course-course,Data-driven Computer Animation,/index.php/programmes/course-offered?infile=2022/comp3360.html,2,"Komura Taku

"
71,2022,COMP3361,https://moodle.hku.hk/course/search.php?q=COMP3361_1A_2022&areaids=core_course-course,Natural Language Processing,/index.php/programmes/course-offered?infile=2022/comp3361.html,1,"Kong Lingpeng

"
72,2022,COMP3362,https://moodle.hku.hk/course/search.php?q=COMP3362_1A_2022&areaids=core_course-course,Hands-on AI: Experimentation & Applications,/index.php/programmes/course-offered?infile=2022/comp3362.html,1,"Choi Loretta

"
73,2022,COMP3366,https://moodle.hku.hk/course/search.php?q=COMP3366_1A_2022&areaids=core_course-course,Quantum Algorithms and Computer Architecture,/index.php/programmes/course-offered?infile=2022/comp3366.html,1,"Yang Yuxiang

"
74,2022,COMP3516,https://moodle.hku.hk/course/search.php?q=COMP3516_2A_2022&areaids=core_course-course,Data Analytics for IoT,/index.php/programmes/course-offered?infile=2022/comp3516.html,2,"Wu Chenshu

"
75,2022,FITE3010,https://moodle.hku.hk/course/search.php?q=FITE3010_2A_2022&areaids=core_course-course,Big Data and Data Mining,/index.php/programmes/course-offered?infile=2022/fite3010.html,2,"Liu Qi

"
76,2022,FITE3012,https://moodle.hku.hk/course/search.php?q=FITE3012_1A_2022&areaids=core_course-course,E-payment and Crypto-currency,/index.php/programmes/course-offered?infile=2022/fite3012.html,1,"Au Allen

"
77,2022,COMP7310,https://moodle.hku.hk/course/search.php?q=COMP7310_1A_2022&areaids=core_course-course,Artificial intelligence of things,/index.php/programmes/course-offered?infile=2022/comp7310.html,1,"Wu Chenshu

"
78,2022,COMP7607,https://moodle.hku.hk/course/search.php?q=COMP7607_1A_2022&areaids=core_course-course,Natural language processing,/index.php/programmes/course-offered?infile=2022/comp7607.html,1,"Kong Lingpeng

"
