,Subject Domain,Top K Keywords
0,Computer Science,"['hour', 'cours', 'graduat', 'topic', 'inform', 'credit', 'quantum', 'comput', 'student', 'data', 'math', 'prerequisit', 'includ', 'profession', 'design', 'program', 'learn', 'develop', 'scienc', 'undergradu']"
1,Biomedical Sciences,"['protein', 'student', 'cours', 'molecular', 'biochemistri', 'sequenc', 'cell', 'basic', 'signal', 'structur', 'provid', 'biolog', 'gene', 'studi', 'analysi', 'acid', 'method', 'metabol', 'scienc', 'life']"
2,Biological Sciences,"['student', 'cours', 'biolog', 'food', 'major', 'scienc', 'provid', 'environment', 'ecolog', 'studi', 'process', 'field', 'system', 'understand', 'nutrit', 'introduc', 'chang', 'knowledg', 'basic', 'topic']"
3,English,"['present', 'studi', 'cours', 'languag', 'student', 'skill', 'learn', 'profession', 'commun', 'academ', 'rhetor', 'spoken', 'scienc', 'main', 'compon', 'explain', 'written', 'develop', 'oral', 'case']"
4,Chemistry,"['chemistri', 'chem', 'cours', 'student', 'chemic', 'organ', 'hour', 'reaction', 'credit', 'prerequisit', 'graduat', 'principl', 'bond', 'provid', 'structur', 'aim', 'materi', 'concept', 'theori', 'includ']"
5,Chinese,"['email', 'messag', 'techniqu', 'write', 'style', 'rhetor', 'report', 'chines', 'student', 'reader-bas', 'grammar', 'letter', 'announc', 'notic', 'brochur', 'leaflet', 'addit', 'document', 'present', 'vocabulari']"
6,Earth Sciences,"['hour', 'geol', 'prerequisit', 'student', 'geolog', 'environment', 'earth', 'cours', 'graduat', 'scienc', 'field', 'resourc', 'studi', 'credit', 'nre', 'climat', 'natur', 'map', 'rock', 'appli']"
7,Mathematics,"['math', 'hour', 'prerequisit', 'cours', 'linear', 'differenti', 'mathemat', 'student', 'equat', 'credit', 'theorem', 'topic', 'function', 'applic', 'integr', 'instructor', 'theori', 'basic', 'algebra', 'space']"
8,Physics,"['elect', 'cours', 'physic', 'astronomi', 'theme', 'numer', 'phi', 'introduc', 'essenti', 'postgradu', 'student', 'plan', 'disciplin', 'pursu', 'analyt', 'topic', 'studi', 'project', 'prerequisit', 'minor']"
9,Faculty,"['student', 'cours', 'scienc', 'research', 'develop', 'differ', 'work', 'opportun', 'provid', 'univers', 'busi', 'scientif', 'skill', 'market', 'practic', 'staff', 'learn', 'conduct', 'entrepreneuri', 'supervis']"
10,Statistics & Actuarial Science,"['model', 'statist', 'cours', 'stat', 'student', 'data', 'analysi', 'hour', 'topic', 'method', 'risk', 'prerequisit', 'estim', 'math', 'problem', 'process', 'probabl', 'test', 'graduat', 'includ']"
11,Biology,"['hour', 'student', 'graduat', 'credit', 'prerequisit', 'repeat', 'grade', 'consent', 'mcb', 'instructor', 'approv', 'cours', 'biolog', 'maximum', 'undergradu', 'topic', 'includ', 'enrol', 'research', 'engin']"
12,Nutritional Science,"['hour', 'fshn', 'food', 'graduat', 'nutrit', 'prerequisit', 'credit', 'scienc', 'repeat', 'cours', 'undergradu', 'topic', 'student', 'product', 'special', 'approv', 'term', 'grade', 'manag', 'letter']"
